SHC_filename;play_name;character;word_count
A03258;Late Lancashire Witches;A03258-all.txt;185
A03258;Late Lancashire Witches;A03258-arthur.txt;2658
A03258;Late Lancashire Witches;A03258-bantam.txt;930
A03258;Late Lancashire Witches;A03258-boy.txt;697
A03258;Late Lancashire Witches;A03258-cry.txt;11
A03258;Late Lancashire Witches;A03258-dickison.txt;267
A03258;Late Lancashire Witches;A03258-doughty.txt;3108
A03258;Late Lancashire Witches;A03258-fiddler.txt;26
A03258;Late Lancashire Witches;A03258-generous.txt;4331
A03258;Late Lancashire Witches;A03258-gilian.txt;116
A03258;Late Lancashire Witches;A03258-gillian.txt;77
A03258;Late Lancashire Witches;A03258-goody_dick.txt;146
A03258;Late Lancashire Witches;A03258-gregory.txt;664
A03258;Late Lancashire Witches;A03258-joan A03258-winny.txt;13
A03258;Late Lancashire Witches;A03258-joan.txt;504
A03258;Late Lancashire Witches;A03258-lawrence.txt;776
A03258;Late Lancashire Witches;A03258-mall.txt;703
A03258;Late Lancashire Witches;A03258-maud.txt;100
A03258;Late Lancashire Witches;A03258-meg.txt;529
A03258;Late Lancashire Witches;A03258-miller.txt;660
A03258;Late Lancashire Witches;A03258-mrs_generous.txt;1026
A03258;Late Lancashire Witches;A03258-multiple.txt;121
A03258;Late Lancashire Witches;A03258-parnell.txt;1016
A03258;Late Lancashire Witches;A03258-peg.txt;116
A03258;Late Lancashire Witches;A03258-robert.txt;2053
A03258;Late Lancashire Witches;A03258-robin.txt;447
A03258;Late Lancashire Witches;A03258-seely A03258-gregory.txt;21
A03258;Late Lancashire Witches;A03258-seely.txt;1205
A03258;Late Lancashire Witches;A03258-shakstone.txt;1040
A03258;Late Lancashire Witches;A03258-soldier.txt;684
A03258;Late Lancashire Witches;A03258-spirit.txt;11
A03258;Late Lancashire Witches;A03258-unassigned.txt;277
A03258;Late Lancashire Witches;A03258-whetstone.txt;2132
A03258;Late Lancashire Witches;A03258-winny.txt;335
A03258;Late Lancashire Witches;A03258-witches.txt;7
A03258;Late Lancashire Witches;A03258-within.txt;11
A16923;The Antipodes;A16923-all.txt;34
A16923;The Antipodes;A16923-ballad-singer.txt;8
A16923;The Antipodes;A16923-barbara.txt;1814
A16923;The Antipodes;A16923-beggar.txt;191
A16923;The Antipodes;A16923-blaze.txt;1715
A16923;The Antipodes;A16923-buffe.txt;127
A16923;The Antipodes;A16923-byplay.txt;2860
A16923;The Antipodes;A16923-captain.txt;293
A16923;The Antipodes;A16923-carman.txt;187
A16923;The Antipodes;A16923-citizen.txt;348
A16923;The Antipodes;A16923-constable.txt;120
A16923;The Antipodes;A16923-courtier_1.txt;259
A16923;The Antipodes;A16923-courtier_2.txt;66
A16923;The Antipodes;A16923-courtier_3.txt;127
A16923;The Antipodes;A16923-diana.txt;2832
A16923;The Antipodes;A16923-doctor.txt;3271
A16923;The Antipodes;A16923-gallant.txt;241
A16923;The Antipodes;A16923-gentleman.txt;729
A16923;The Antipodes;A16923-joyless.txt;2526
A16923;The Antipodes;A16923-lady.txt;309
A16923;The Antipodes;A16923-lawyer.txt;688
A16923;The Antipodes;A16923-letoy.txt;5681
A16923;The Antipodes;A16923-maid.txt;331
A16923;The Antipodes;A16923-manscold.txt;199
A16923;The Antipodes;A16923-martha.txt;806
A16923;The Antipodes;A16923-missing.txt;28
A16923;The Antipodes;A16923-officer.txt;5
A16923;The Antipodes;A16923-old_merrithought.txt;213
A16923;The Antipodes;A16923-omnes.txt;5
A16923;The Antipodes;A16923-peregrine.txt;1654
A16923;The Antipodes;A16923-poet.txt;370
A16923;The Antipodes;A16923-projector.txt;404
A16923;The Antipodes;A16923-quailpipe.txt;412
A16923;The Antipodes;A16923-sedanman.txt;171
A16923;The Antipodes;A16923-servant.txt;92
A16923;The Antipodes;A16923-servant_1.txt;7
A16923;The Antipodes;A16923-servant_2.txt;56
A16923;The Antipodes;A16923-sword_bearer.txt;40
